drug,pair_cell_count
RUFINAMIDE,282
SERTRALINE,282
SODIUM DIETHYLDITHIOCARBAMATE TRIHYDRATE,282
SUCCINYLCHOLINE CHLORIDE,282
TIAGABINE,282
TIZOXANIDE,282
TOLAZOLINE,282
TRIFLUPROMAZINE,282
TRIHEXYPHENIDYL,282
TRIMETHOBENZAMIDE,282
ULIPRISTAL ACETATE,282
ZALEPLON,282
ACAMPROSATE,281
DIDEOXYCYTIDINE 5\'-TRIPHOSPHATE,281
FENOPROFEN,281
FOSCARNET,281
GUANFACINE,281
LIOTHYRONINE,281
NABILONE,281
NITROSOGLUTATHIONE,281
PALONOSETRON,281
PAMIDRONIC ACID,281
PENTOLINIUM TARTRATE,281
PYRVINIUM CHLORIDE DIHYDRATE,281
TESTOLACTONE,281
VALPROIC ACID,281
DEXTROMETHORPHAN,280
CARFILZOMIB (PR-171),269
SULFADOXINE,261
ALVESPIMYCIN HYDROCHLORIDE,259
ARTEROLANE,258
CLINDAMYCIN,256
DECOQUINATE,255
FEBRIFUGINE,255
GRAMICIDIN,255
GSK-2126458,255
TRAMETINIB,253
JQ1,241
BAFILOMYCIN A1,233
KN-62,233
3-METHYLADENINE,227
AK-77283,227
CUDC-907,227
ABT-263 (NAVITOCLAX),220
RESERPINE,216
SEPANTRONIUM BROMIDE,211
TRAMETINIB (GSK1120212),211
DAPORINAD,208
INK-128,206
BIX-01294,205
DINACICLIB (SCH727965),205
AMODIAQUIN DIHYDROCHLORIDE DIHYDRATE,202
NAVITOCLAX (ABT-263),200
OSI-027,192
PROSCILLARIDIN,189
PALBOCICLIB,186
GSK-J4,180
VORINOSTAT (SAHA),180
FLAVOPIRIDOL,176
MIDOSTAURIN,175
DOXYCYCLINE,174
NANCHANGMYCIN,174
PIK-93,172
QUINIDINE,172
WAY-600,172
BERBERINE,171
EMETINE,171
TORIN-1,171
RIFAMPICIN,170
GSK-615,169
METHYLROSANILINE CHLORIDE,169
MONENSIN SODIUM SALT,169
PD-173955,169
QUISINOSTAT,169
TRICHOSTATIN A,169
ZSTK-474,169
BUPARLISIB,167
TAFENOQUINE,165
ZINC34894448,165
MITOMYCIN C,162
SEPANTRONIUM,157
VERAPAMIL,154
T3.5,153
BKM-120,152
JTC-801,147
AK170455,145
AVN-944,145
MICONAZOLE,144
NINTEDANIB,144
PELITINIB,142
CABOZANTINIB,141
PYRIMETHAMINE,140
BGT-226 FREE BASE,139
658084-64-1,137
CAMPTOTHECIN,137
PF-04691502,137
BMS-3,136
DIPHENHYDRAMINE HYDROCHLORIDE,136
EPOTHILONE B,136
LOPINAVIR,136
PICROPODOPHYLLIN,136
YK-4-279,136
ZM-447439,136
200484-11-3,135
CLOBETASONE BUTYRATE,135
COMBRETASTATIN A-4,134
LUMINESPIB,134
DEXCHLORPHENIRAMINE HYDROCHLORIDE,132
DOXEPIN,132
ETONOGESTREL,132
FOSMIDOMYCIN,132
GENZ-668764,132
MK-4815,132
SARPOGRELATE,132
SB228357,132
THIOLACTOMYCIN,132
THIOPROPERAZINE DIMETHANESULFONATE,132
CHEMBL129857,130
CANTHARIDIN,127
CUDC-101,126
DORSOMORPHIN,124
NCGC00095145-01,124
SPC-839,123
THZ1,123
GMX-1778,122
CHLOROXINE,121
CYTISINE,121
RALOXIFENE HYDROCHLORIDE,120
SCHEMBL2929203,119
MANIDIPINE,118
MK-1775,118
PAEONOL,118
ROTENONE,118
GANETESPIB,115
AZD-8055,114
PROCHLORPERAZINE,114
GANETESPIB (STA-9090),112
NSC707389,112
CPG-52364,111
CHEMBL3348931,109
CHEMBL3348822,108
NICARDIPINE,108
OMBRABULIN,108
PF-04929113 (SNX-5422),107
NCGC00018159-01,106
PROPAFENONE HYDROCHLORIDE,106
SNX-5422,106
WITHAFERIN A,106
VINPOCETINE,105
CRENOLANIB (CP-868596),104
PAC-1,104
ZINC17545571,104
CALHEX-231,103
CYANEIN,103
DRONEDARONE HYDROCHLORIDE,103
IMD 0354,101
BIIB021,100
CINACALCET HYDROCHLORIDE,100
CRENOLANIB,100
IMD-0354,100
PLINABULIN,99
GDC-0980,98
SALINOMYCIN,98
CHEMBL2140543,96
ISODONOL,96
ORIDONIN,96
VINCRISTINE,96
ROMIDEPSINFK-228,95
CNF-2024,92
117048-62-1,91
NCGC00095055-03,91
10356-76-0,90
2-METHOXYESTRADIOL,90
AT7519,89
ISPINESIB (SB-715992),87
MITHRAMYCIN,86
PONATINIB (AP24534),83
DANUSERTIB (PHA-739358),82
SCHEMBL82368,82
TIC-10,80
CICLOPIROX,79
ISPINESIB,79
KX2-391,79
